"","blogs","books","brochures","chats","discussion lists","e-magazines","legal texts","newsletters","newspapers","policy documents","press releases","proceedings","reports","sms","subtitles","texts for the visually impaired","tweets","wikipedia","written assignments"
"tegen de stroom op roeien"," 0.00000","38.19012"," 0.00000"," 0.00000","26.28326"," 0.00000"," 0.00000"," 0.00000","30.70821"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"
"tegen windmolens vechten"," 0.00000","19.09506"," 0.00000"," 0.00000","78.84977"," 0.00000"," 0.00000"," 0.00000","47.24341"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","53.17292"," 0.00000","43.10863","21.73801"," 0.00000"
"tot aan de lippen staan","  0.00000"," 57.28518","  0.00000","  0.00000"," 26.28326"," 57.96263","  0.00000","  0.00000","111.02201","114.79012","  0.00000","  0.00000","225.40565","  0.00000"," 17.72431","  0.00000"," 43.10863"," 21.73801","  0.00000"
"tussen wal en schip ","   0.00000","  57.28518","   0.00000","   0.00000"," 122.65520"," 521.66365","   0.00000","   0.00000"," 240.94137"," 344.37037","9014.55851","   0.00000"," 450.81130","   0.00000","  17.72431"," 740.65077"," 237.09747"," 108.69006","   0.00000"
"twee vliegen in één klap ","   0.00000"," 229.14074","1236.21415"," 294.77572"," 683.36466"," 753.51416","   0.00000","   0.00000"," 434.63934"," 172.18518","   0.00000","   0.00000","   0.00000","   0.00000"," 389.93478"," 740.65077"," 495.74925","  43.47602","   0.00000"
"uit de kast komen","   0.00000"," 114.57037","   0.00000","1094.88123"," 376.72667"," 347.77577","   0.00000","   0.00000"," 285.82261","  57.39506","   0.00000","   0.00000","   0.00000","   0.00000"," 159.51877","   0.00000","1314.81323"," 130.42807","   0.00000"
"uit het hoofd leren","   0.0000","1718.5555","   0.0000","   0.0000"," 254.0715"," 811.4768","   0.0000","   0.0000"," 455.8989","   0.0000","   0.0000","   0.0000","   0.0000","   0.0000"," 514.0049","3703.2538"," 646.6295"," 456.4982","   0.0000"
"uit het zadel wippen","  0.00000","  0.00000","  0.00000","  0.00000"," 26.28326","  0.00000","  0.00000","  0.00000"," 44.88124","114.79012","  0.00000","  0.00000","676.21695","  0.00000"," 17.72431","  0.00000"," 21.55432"," 21.73801","  0.00000"
"uit zijn hoed toveren","  0.00000","190.95061","  0.00000"," 42.11082","210.26605","521.66365","  0.00000","  0.00000","302.35780"," 57.39506","  0.00000","  0.00000","  0.00000","  0.00000","106.34585","  0.00000"," 86.21726"," 43.47602","  0.00000"
"uit zijn rol vallen","  0.00000","267.33086","  0.00000"," 84.22163","131.41628","115.92526","  0.00000","  0.00000","188.97363"," 57.39506","  0.00000","  0.00000","  0.00000","  0.00000","177.24308","  0.00000"," 21.55432","  0.00000","  0.00000"
"van de daken schreeuwen","  0.0000","229.1407","  0.0000","126.3324","525.6651","347.7758","  0.0000","  0.0000","472.4341","401.7654","  0.0000","  0.0000","  0.0000","  0.0000","230.4160","  0.0000","237.0975","  0.0000","  0.0000"
"van de hand doen","3577.43355"," 591.94690","   0.00000","   0.00000"," 490.62078","1970.72934"," 233.87040","   0.00000","1941.70402"," 229.58024","   0.00000","   0.00000","   0.00000","   0.00000"," 194.96739"," 740.65077","  43.10863"," 195.64210","   0.00000"
"van de wijs brengen","   0.00000","1241.17899","   0.00000"," 336.88653"," 113.89411"," 115.92526","   0.00000","   0.00000"," 571.64522"," 344.37037","   0.00000","   0.00000","   0.00000","   0.00000"," 159.51877","1481.30153","  86.21726"," 108.69006","   0.00000"
"van een mug een olifant ","  0.00000"," 38.19012","  0.00000"," 42.11082","385.48776","  0.00000","  0.00000","  0.00000"," 42.51907","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","159.51877","  0.00000","193.98884"," 43.47602","  0.00000"
"van zijn bed lichten","  0.00000"," 76.38025","  0.00000","  0.00000","140.17737","  0.00000","  0.00000","  0.00000","212.59533","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000"," 35.44862","  0.00000"," 64.66295","108.69006","  0.00000"
"veeg uit de pan ","  0.00000"," 95.47531","  0.00000"," 42.11082","271.59365","289.81314","  0.00000","  0.00000","517.31530"," 57.39506","  0.00000","  0.00000","  0.00000","  0.00000"," 70.89723","  0.00000","150.88021","  0.00000","  0.00000"
"vel over been ","  0.00000","420.09135","  0.00000","168.44327","473.09861"," 57.96263","  0.00000","  0.00000"," 70.86511","  0.00000","  0.00000","  0.00000","  0.00000","  0.00000","106.34585","  0.00000","  0.00000"," 21.73801","  0.00000"
"vinger aan de pols ","    0.00000","  133.66543"," 2472.42830","    0.00000","  201.50497"," 1217.21518","    0.00000","14105.96400","  611.80212","  803.53085"," 1502.42642"," 1592.22992","  901.62261","    0.00000","   35.44862"," 2221.95230","  452.64062","   21.73801","    0.00000"
"vinger in de pap ","   0.0000"," 248.2358","   0.0000","   0.0000"," 455.5764"," 231.8505","   0.0000","   0.0000"," 498.4179"," 573.9506","   0.0000","1592.2299"," 450.8113","   0.0000"," 141.7945"," 740.6508"," 129.3259"," 217.3801","   0.0000"
"vinger op de zere plek ","   0.00000"," 210.04568","   0.00000","   0.00000","  78.84977","   0.00000","   0.00000","   0.00000"," 146.45456"," 459.16049","1502.42642","   0.00000"," 676.21695","   0.00000","  17.72431","   0.00000"," 366.42336","   0.00000","   0.00000"
"voet bij stuk ","   0.00000","1164.79874","   0.00000","  42.11082","1051.33025"," 289.81314","   0.00000","   0.00000"," 784.24055","2238.40737","   0.00000","   0.00000","2028.65086","   0.00000"," 496.28062","   0.00000"," 258.65178"," 282.59415","   0.00000"
